"subject","age","rt","vocab"
2,18,974.307692307692,122
2,24,497.333333333333,485
2,30,748.583333333333,662
4,18,755.588235294118,145
4,24,638.090909090909,555
4,30,474.285714285714,665
5,18,764.111111111111,101
5,24,585.333333333333,567
5,30,619.727272727273,657
6,18,510.111111111111,381
6,24,706.166666666667,566
6,30,743.4,654
8,18,713.916666666667,129
8,24,550.625,447
8,30,547.571428571429,670
10,18,531,301
10,24,667.4,679
10,30,662.142857142857,686
12,18,410.25,38
12,24,438.052631578947,388
12,30,467,557
15,18,684.909090909091,46
15,24,565.909090909091,308
15,30,623,513
16,18,601.222222222222,80
16,24,688.25,367
16,30,654.666666666667,684
19,18,776.68,131
19,24,607.5,430
19,30,648.307692307692,648
22,18,742.148148148148,415
22,24,640.208333333333,408
22,30,620.5,686
24,18,887.166666666667,66
24,24,714.5,298
24,30,667.3,621
25,18,781.454545454545,14
25,24,521.75,176
25,30,704.5,459
26,18,804.526315789474,41
26,24,911.916666666667,175
26,30,579.117647058824,612
27,18,748,97
27,24,756,374
27,30,588.166666666667,465
30,18,797.090909090909,42
30,24,672.111111111111,276
30,30,607.285714285714,569
31,18,598.272727272727,235
31,24,535.333333333333,667
31,30,551.714285714286,683
32,18,567.727272727273,249
32,24,874.6,586
32,30,477.272727272727,590
34,18,791.1,73
34,24,526,478
34,30,822.181818181818,684
35,18,762.25,146
35,24,724,370
35,30,841,668
36,18,921.166666666667,14
36,24,761.5,253
36,30,691,625
37,18,821.857142857143,47
37,24,619.666666666667,160
37,30,594.714285714286,486
38,18,548.923076923077,187
38,24,829.375,417
38,30,602.909090909091,538
40,18,903.071428571429,79
40,24,893.142857142857,397
40,30,647.285714285714,619
41,18,665.533333333333,88
41,24,502.666666666667,374
41,30,885.5,555
42,18,814.5,47
42,24,639.916666666667,448
42,30,557.333333333333,661
43,18,482,392
43,24,736.111111111111,475
43,30,618.75,623
44,18,584.5,59
44,24,663,219
44,30,523,590
45,18,784.4,54
45,24,904.571428571429,317
45,30,699.666666666667,620
47,18,717.166666666667,37
47,24,747.625,522
47,30,799.777777777778,662
48,18,836.416666666667,150
48,24,561.454545454545,462
48,30,663.7,636
50,18,793.846153846154,71
50,24,778.142857142857,289
50,30,459.888888888889,346
51,18,785.190476190476,153
51,24,591.857142857143,429
51,30,655.4,610
52,18,846.166666666667,4
52,24,725.416666666667,39
52,30,663.166666666667,244
54,18,688.954545454545,26
54,24,767.111111111111,346
54,30,696.6,627
55,18,680.454545454545,120
55,24,1080.33333333333,579
55,30,567.833333333333,676
56,18,1005.33333333333,236
56,24,1029.5,560
56,30,504.142857142857,681
57,18,747.428571428571,76
57,24,695.142857142857,226
57,30,702.923076923077,446
58,18,540.3,328
58,24,606.375,595
58,30,553.166666666667,686
59,18,574.125,269
59,24,508.5,494
59,30,554.111111111111,574
62,18,725.6,89
62,24,677.125,531
62,30,608.333333333333,613
64,18,623.722222222222,54
64,24,717.071428571429,125
64,30,582.5,386
65,18,978.1,57
65,24,678.1,416
65,30,830.5,643
68,18,619.944444444444,37
68,24,678.642857142857,379
68,30,569.285714285714,655
69,18,819,135
69,24,662,417
69,30,598.5,578
70,18,868.857142857143,91
70,24,706.25,386
70,30,519.7,624
76,18,723.307692307692,85
76,24,711.333333333333,602
76,30,469.058823529412,675
79,18,1000.42857142857,137
79,24,575.857142857143,315
79,30,746.5,521
80,18,872.642857142857,157
80,24,718.333333333333,405
80,30,605.277777777778,558
82,18,806,58
82,24,712,286
82,30,644.058823529412,591
83,18,608.96,417
83,24,476.5,598
83,30,605.692307692308,678
85,18,732.833333333333,123
85,24,540.25,294
85,30,498.222222222222,565
87,18,777.2,118
87,24,754.2,424
87,30,584.833333333333,676
89,18,963.6,11
89,24,884.818181818182,168
89,30,740.307692307692,549
90,18,664,79
90,24,537.625,451
90,30,599.75,634
92,18,559.636363636364,238
92,24,520.5,630
92,30,512.3125,680
94,18,725.333333333333,118
94,24,622.714285714286,459
94,30,752.692307692308,649
95,18,917.733333333333,33
95,24,947.333333333333,109
95,30,742.75,463
